project_name,project_url,Aggregate,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
ierror/django-js-reverse,https://github.com/ierror/django-js-reverse,3.3,10,0,0,0,3,10,10,0,0,10,0,-1,0,0,0,-1,0,8
ijl/orjson,https://github.com/ijl/orjson,4.7,10,0,-1,0,0,10,10,0,10,10,10,-1,0,0,0,-1,0,10
ilanschnell/bsdiff4,https://github.com/ilanschnell/bsdiff4,3.9,10,0,0,0,0,0,10,0,0,9,8,10,0,0,0,-1,0,10
illagrenan/django-make-app,https://github.com/illagrenan/django-make-app,2.2,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,3
impredicative/bitlyshortener,https://github.com/impredicative/bitlyshortener,3.1,10,0,-1,0,0,0,10,0,0,10,0,-1,0,0,0,-1,0,10
inveniosoftware/invenio-app,https://github.com/inveniosoftware/invenio-app,4.3,10,3,4,0,5,10,10,0,0,10,0,10,0,0,0,-1,0,10
inventree/inventree-python,https://github.com/inventree/inventree-python,3.8,10,3,10,0,2,6,10,0,0,10,10,-1,0,0,0,-1,0,0
ipsilon-project/ipsilon,https://github.com/ipsilon-project/ipsilon,2.8,10,0,-1,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10
irmen/pyro3,https://github.com/irmen/pyro3,2.6,10,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10
iterative/pydrive2,https://github.com/iterative/pydrive2,4.5,10,6,10,0,5,10,0,10,0,9,1,10,0,0,0,-1,0,10
jamesturk/django-markupfield,https://github.com/jamesturk/django-markupfield,4.2,10,0,5,0,0,10,10,10,0,9,0,-1,0,0,0,-1,0,10
jaspernbrouwer/powerline-gitstatus,https://github.com/jaspernbrouwer/powerline-gitstatus,3.8,10,0,0,0,2,10,-1,0,0,10,7,-1,-1,0,0,-1,-1,10
jaypipes/python-glanceclient,https://github.com/jaypipes/python-glanceclient,2.8,10,0,0,0,3,0,-1,0,0,9,0,-1,-1,0,0,-1,-1,10
jborg/attic,https://github.com/jborg/attic,2.7,10,0,0,0,1,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,9
jdennis/keycloak-httpd-client-install,https://github.com/jdennis/keycloak-httpd-client-install,2.4,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10
jnwatson/py-lmdb,https://github.com/jnwatson/py-lmdb,3.6,10,0,1,0,0,10,10,0,0,9,0,10,0,0,0,-1,0,10
joajfreitas/marcador,https://github.com/joajfreitas/marcador,3.5,10,6,10,0,0,0,10,0,0,10,0,-1,0,0,0,0,0,10
joblib/joblib,https://github.com/joblib/joblib,4.7,10,3,7,0,5,10,-1,0,10,10,3,-1,0,0,0,-1,-1,10
joestump/python-oauth2,https://github.com/joestump/python-oauth2,3.2,10,0,0,0,6,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,7
joniles/mpxj,https://github.com/joniles/mpxj,3.2,0,0,0,0,0,0,-1,10,0,10,10,-1,-1,0,0,0,-1,10
jrspruitt/ubi_reader,https://github.com/jrspruitt/ubi_reader,3.9,10,1,0,0,7,10,10,0,0,10,0,-1,0,0,0,-1,0,10
jupyterhub/binderhub,https://github.com/jupyterhub/binderhub,5.6,10,3,9,0,8,10,10,10,0,10,10,-1,0,0,0,-1,0,5
jupyterhub/dockerspawner,https://github.com/jupyterhub/dockerspawner,4.7,10,3,9,0,1,10,10,10,0,10,0,10,0,0,0,-1,0,8
jupyterhub/firstuseauthenticator,https://github.com/jupyterhub/firstuseauthenticator,5.6,10,3,2,0,4,10,10,10,0,10,9,10,0,0,0,-1,0,10
jupyterhub/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,6.2,10,3,10,0,7,10,10,10,0,10,10,10,0,0,0,-1,0,10
jupyterhub/kubespawner,https://github.com/jupyterhub/kubespawner,5.9,10,3,5,0,5,10,10,10,0,10,10,10,0,0,0,-1,0,10
jupyterhub/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,5.6,10,3,10,0,6,10,10,10,0,10,4,10,0,0,0,-1,0,10
jupyterhub/oauthenticator,https://github.com/jupyterhub/oauthenticator,6.2,10,3,10,0,7,10,10,10,0,10,10,10,0,0,0,-1,0,10
jwilk-archive/ocrodjvu,https://github.com/jwilk-archive/ocrodjvu,3.4,10,0,-1,0,0,0,10,0,0,10,0,-1,0,0,0,8,0,10
kakwa/ldapcherry,https://github.com/kakwa/ldapcherry,3.9,10,0,0,0,3,0,10,10,0,10,0,-1,0,0,0,-1,0,9
kinto/kinto-attachment,https://github.com/kinto/kinto-attachment,5.9,10,6,10,0,6,10,10,10,0,10,5,10,0,0,0,-1,0,10
